GEOID,NAME,estimate
01,Alabama,4876250
02,Alaska,737068
04,Arizona,7050299
05,Arkansas,2999370
06,California,39283497
08,Colorado,5610349
09,Connecticut,3575074
10,Delaware,957248
11,District of Columbia,692683
12,Florida,20901636
13,Georgia,10403847
15,Hawaii,1422094
16,Idaho,1717750
17,Illinois,12770631
18,Indiana,6665703
19,Iowa,3139508
20,Kansas,2910652
21,Kentucky,4449052
22,Louisiana,4664362
23,Maine,1335492
24,Maryland,6018848
25,Massachusetts,6850553
26,Michigan,9965265
27,Minnesota,5563378
28,Mississippi,2984418
29,Missouri,6104910
30,Montana,1050649
31,Nebraska,1914571
32,Nevada,2972382
33,New Hampshire,1348124
34,New Jersey,8878503
35,New Mexico,2092454
36,New York,19572319
37,North Carolina,10264876
38,North Dakota,756717
39,Ohio,11655397
40,Oklahoma,3932870
41,Oregon,4129803
42,Pennsylvania,12791530
44,Rhode Island,1057231
45,South Carolina,5020806
46,South Dakota,870638
47,Tennessee,6709356
48,Texas,28260856
49,Utah,3096848
50,Vermont,624313
51,Virginia,8454463
53,Washington,7404107
54,West Virginia,1817305
55,Wisconsin,5790716
56,Wyoming,581024
72,Puerto Rico,3318447
